"Workout #";"Date";"Workout Name";"Duration (sec)";"Exercise Name";"Set Order";"Weight (kg)";"Reps";"RPE";"Distance (meters)";"Seconds";"Notes";"Workout Notes"
"43";"2025-03-19 19:00:15";"Leg Day";"4020";"Seated Leg Press (Machine)";"8";"123.0";"8";"";"";"";"";""
"43";"2025-03-19 19:00:15";"Leg Day";"4020";"Seated Leg Press (Machine)";"9";"149.5";"12";"";"";"";"";""
"43";"2025-03-19 19:00:15";"Leg Day";"4020";"Leg Extension (Machine)";"10";"55.5";"15";"";"";"";"";""
"43";"2025-03-19 19:00:15";"Leg Day";"4020";"Leg Extension (Machine)";"11";"38.5";"15";"";"";"";"";""
"43";"2025-03-19 19:00:15";"Leg Day";"4020";"Leg Extension (Machine)";"12";"41.0";"10";"";"";"";"";""
"43";"2025-03-19 19:00:15";"Leg Day";"4020";"Seated Leg Curl (Machine)";"13";"37.0";"11";"";"";"";"";""
"43";"2025-03-19 19:00:15";"Leg Day";"4020";"Seated Leg Curl (Machine)";"14";"45.5";"11";"";"";"";"";""
"43";"2025-03-19 19:00:15";"Leg Day";"4020";"Seated Leg Curl (Machine)";"15";"44.0";"13";"";"";"";"";""
"43";"2025-03-19 19:00:15";"Leg Day";"4020";"Hip Abductor (Machine)";"16";"68.0";"13";"";"";"";"";""
"43";"2025-03-19 19:00:15";"Leg Day";"4020";"Hip Abductor (Machine)";"17";"44.0";"12";"";"";"";"";""
"43";"2025-03-19 19:00:15";"Leg Day";"4020";"Hip Abductor (Machine)";"18";"46.0";"14";"";"";"";"";""
"43";"2025-03-19 19:00:15";"Leg Day";"4020";"Hip Adductor (Machine)";"19";"43.0";"13";"";"";"";"";""
"43";"2025-03-19 19:00:15";"Leg Day";"4020";"Hip Adductor (Machine)";"20";"71.5";"15";"";"";"";"";""
"43";"2025-03-19 19:00:15";"Leg Day";"4020";"Hip Adductor (Machine)";"21";"64.0";"10";"";"";"";"";""
"43";"2025-03-19 19:00:15";"Leg Day";"4020";"Standing Calf Raise (Machine)";"22";"106.0";"15";"";"";"";"";""
"43";"2025-03-19 19:00:15";"Leg Day";"4020";"Standing Calf Raise (Machine)";"23";"90.5";"13";"";"";"";"";""
"43";"2025-03-19 19:00:15";"Leg Day";"4020";"Standing Calf Raise (Machine)";"24";"128.0";"19";"";"";"";"";""
"43";"2025-03-19 19:00:15";"Leg Day";"4020";"Standing Calf Raise (Machine)";"25";"85.0";"15";"";"";"";"";""
"44";"2025-03-20 08:53:25";"Push";"3300";"Running (Treadmill)";"1";"";"";"";"882.0";"418.0";"";""
"44";"2025-03-20 08:53:25";"Push";"3300";"Bench Press (Barbell)";"2";"59.0";"7";"";"";"";"";""
"44";"2025-03-20 08:53:25";"Push";"3300";"Bench Press (Barbell)";"3";"72.0";"12";"";"";"";"";""
"44";"2025-03-20 08:53:25";"Push";"3300";"Bench Press (Barbell)";"4";"88.0";"12";"";"";"";"";""
"44";"2025-03-20 08:53:25";"Push";"3300";"Bench Press (Barbell)";"5";"79.5";"9";"";"";"";"";""
"44";"2025-03-20 08:53:25";"Push";"3300";"Incline Chest Press (Machine)";"6";"56.5";"10";"";"";"";"";""
"44";"2025-03-20 08:53:25";"Push";"3300";"Incline Chest Press (Machine)";"7";"64.5";"9";"";"";"";"";""
"44";"2025-03-20 08:53:25";"Push";"3300";"Incline Chest Press (Machine)";"8";"66.5";"9";"";"";"";"";""
"44";"2025-03-20 08:53:25";"Push";"3300";"Incline Chest Press (Machine)";"9";"65.0";"8";"";"";"";"";""
"44";"2025-03-20 08:53:25";"Push";"3300";"Chest Fly";"10";"19.0";"14";"";"";"";"";""
"44";"2025-03-20 08:53:25";"Push";"3300";"Chest Fly";"11";"17.0";"11";"";"";"";"";""
"44";"2025-03-20 08:53:25";"Push";"3300";"Chest Fly";"12";"15.5";"13";"";"";"";"";""
"44";"2025-03-20 08:53:25";"Push";"3300";"Front Raise (Cable)";"13";"14.5";"10";"";"";"";"";""
"44";"2025-03-20 08:53:25";"Push";"3300";"Front Raise (Cable)";"14";"11.0";"13";"";"";"";"";""
"44";"2025-03-20 08:53:25";"Push";"3300";"Front Raise (Cable)";"15";"11.0";"14";"";"";"";"";""
"44";"2025-03-20 08:53:25";"Push";"3300";"Front Raise (Cable)";"16";"12.5";"12";"";"";"";"";""
"44";"2025-03-20 08:53:25";"Push";"3300";"Triceps Extension (Cable)";"17";"21.0";"10";"";"";"";"";""
"44";"2025-03-20 08:53:25";"Push";"3300";"Triceps Extension (Cable)";"18";"20.5";"10";"";"";"";"";""
"44";"2025-03-20 08:53:25";"Push";"3300";"Triceps Extension (Cable)";"19";"19.0";"13";"";"";"";"";""
"45";"2025-03-21 17:58:17";"Pull";"2880";"Pull Up";"1";"0.0";"9";"";"";"";"";""
"45";"2025-03-21 17:58:17";"Pull";"2880";"Pull Up";"2";"0.0";"5";"";"";"";"";""
"45";"2025-03-21 17:58:17";"Pull";"2880";"Pull Up";"3";"0.0";"10";"";"";"";"";""
"45";"2025-03-21 17:58:17";"Pull";"2880";"Lat Pulldown (Cable)";"4";"62.5";"11";"";"";"";"";""
"45";"2025-03-21 17:58:17";"Pull";"2880";"Lat Pulldown (Cable)";"5";"59.0";"8";"";"";"";"";""
"45";"2025-03-21 17:58:17";"Pull";"2880";"Lat Pulldown (Cable)";"6";"52.5";"9";"";"";"";"";""
"45";"2025-03-21 17:58:17";"Pull";"2880";"Lat Pulldown (Cable)";"7";"45.0";"9";"";"";"";"";""
"45";"2025-03-21 17:58:17";"Pull";"2880";"Seated Wide-Grip Row (Cable)";"8";"49.0";"10";"";"";"";"";""
"45";"2025-03-21 17:58:17";"Pull";"2880";"Seated Wide-Grip Row (Cable)";"9";"45.5";"8";"";"";"";"";""
"45";"2025-03-21 17:58:17";"Pull";"2880";"Seated Wide-Grip Row (Cable)";"10";"48.0";"10";"";"";"";"";""
"45";"2025-03-21 17:58:17";"Pull";"2880";"Seated Wide-Grip Row (Cable)";"11";"48.5";"9";"";"";"";"";""
"45";"2025-03-21 17:58:17";"Pull";"2880";"Reverse Fly (Machine)";"12";"10.0";"10";"";"";"";"";""
"45";"2025-03-21 17:58:17";"Pull";"2880";"Reverse Fly (Machine)";"13";"15.0";"12";"";"";"";"";""
"45";"2025-03-21 17:58:17";"Pull";"2880";"Reverse Fly (Machine)";"14";"6.0";"10";"";"";"";"";""
"45";"2025-03-21 17:58:17";"Pull";"2880";"Bicep Curl (Barbell)";"15";"17.0";"8";"";"";"";"";""
"45";"2025-03-21 17:58:17";"Pull";"2880";"Bicep Curl (Barbell)";"16";"18.5";"10";"";"";"";"";""
"45";"2025-03-21 17:58:17";"Pull";"2880";"Bicep Curl (Barbell)";"17";"28.5";"8";"";"";"";"";""
"45";"2025-03-21 17:58:17";"Pull";"2880";"Bicep Curl (Dumbbell)";"18";"9.5";"11";"";"";"";"";""
"45";"2025-03-21 17:58:17";"Pull";"2880";"Bicep Curl (Dumbbell)";"19";"15.5";"10";"";"";"";"";""
"45";"2025-03-21 17:58:17";"Pull";"2880";"Bicep Curl (Dumbbell)";"20";"9.5";"12";"";"";"";"";""
"46";"2025-03-24 07:17:25";"Leg Day";"4920";"Squat (Barbell)";"1";"86.5";"9";"";"";"";"";""
"46";"2025-03-24 07:17:25";"Leg Day";"4920";"Squat (Barbell)";"2";"68.5";"6";"";"";"";"";""
"46";"2025-03-24 07:17:25";"Leg Day";"4920";"Squat (Barbell)";"3";"60.0";"7";"";"";"";"";""
"46";"2025-03-24 07:17:25";"Leg Day";"4920";"Squat (Barbell)";"4";"49.5";"7";"";"";"";"";""
"46";"2025-03-24 07:17:25";"Leg Day";"4920";"Seated Leg Press (Machine)";"5";"133.5";"8";"";"";"";"";""
"46";"2025-03-24 07:17:25";"Leg Day";"4920";"Seated Leg Press (Machine)";"6";"109.0";"9";"";"";"";"";""
"46";"2025-03-24 07:17:25";"Leg Day";"4920";"Seated Leg Press (Machine)";"7";"148.5";"8";"";"";"";"";""
"46";"2025-03-24 07:17:25";"Leg Day";"4920";"Leg Extension (Machine)";"8";"48.5";"10";"";"";"";"";""
"46";"2025-03-24 07:17:25";"Leg Day";"4920";"Leg Extension (Machine)";"9";"57.0";"15";"";"";"";"";""
"46";"2025-03-24 07:17:25";"Leg Day";"4920";"Leg Extension (Machine)";"10";"35.5";"14";"";"";"";"";""
"46";"2025-03-24 07:17:25";"Leg Day";"4920";"Leg Extension (Machine)";"11";"35.0";"14";"";"";"";"";""
"46";"2025-03-24 07:17:25";"Leg Day";"4920";"Seated Leg Curl (Machine)";"12";"41.5";"13";"";"";"";"";""
"46";"2025-03-24 07:17:25";"Leg Day";"4920";"Seated Leg Curl (Machine)";"13";"52.5";"14";"";"";"";"";""
"46";"2025-03-24 07:17:25";"Leg Day";"4920";"Seated Leg Curl (Machine)";"14";"39.0";"11";"";"";"";"";""
"46";"2025-03-24 07:17:25";"Leg Day";"4920";"Hip Abductor (Machine)";"15";"68.0";"12";"";"";"";"";""
"46";"2025-03-24 07:17:25";"Leg Day";"4920";"Hip Abductor (Machine)";"16";"59.0";"12";"";"";"";"";""
"46";"2025-03-24 07:17:25";"Leg Day";"4920";"Hip Abductor (Machine)";"17";"65.0";"12";"";"";"";"";""
"46";"2025-03-24 07:17:25";"Leg Day";"4920";"Hip Abductor (Machine)";"18";"69.0";"12";"";"";"";"";""
"46";"2025-03-24 07:17:25";"Leg Day";"4920";"Hip Adductor (Machine)";"19";"64.5";"11";"";"";"";"";""
"46";"2025-03-24 07:17:25";"Leg Day";"4920";"Hip Adductor (Machine)";"20";"42.5";"11";"";"";"";"";""
"46";"2025-03-24 07:17:25";"Leg Day";"4920";"Hip Adductor (Machine)";"21";"63.0";"10";"";"";"";"";""
"46";"2025-03-24 07:17:25";"Leg Day";"4920";"Standing Calf Raise (Machine)";"22";"95.5";"16";"";"";"";"";""
"46";"2025-03-24 07:17:25";"Leg Day";"4920";"Standing Calf Raise (Machine)";"23";"108.5";"14";"";"";"";"";""
"46";"2025-03-24 07:17:25";"Leg Day";"4920";"Standing Calf Raise (Machine)";"24";"100.0";"18";"";"";"";"";""
"47";"2025-03-27 17:59:07";"Upper Body";"4200";"Bench Press (Barbell)";"1";"74.0";"9";"";"";"";"";""
"47";"2025-03-27 17:59:07";"Upper Body";"4200";"Bench Press (Barbell)";"2";"61.0";"10";"";"";"";"";""
"47";"2025-03-27 17:59:07";"Upper Body";"4200";"Bench Press (Barbell)";"3";"75.0";"9";"";"";"";"";""
"47";"2025-03-27 17:59:07";"Upper Body";"4200";"Seated Row (Cable)";"4";"48.5";"12";"";"";"";"";""
"47";"2025-03-27 17:59:07";"Upper Body";"4200";"Seated Row (Cable)";"5";"40.0";"10";"";"";"";"";""
"47";"2025-03-27 17:59:07";"Upper Body";"4200";"Seated Row (Cable)";"6";"55.0";"10";"";"";"";"";""
"47";"2025-03-27 17:59:07";"Upper Body";"4200";"Seated Row (Cable)";"7";"57.5";"9";"";"";"";"";""
"47";"2025-03-27 17:59:07";"Upper Body";"4200";"Shoulder Press (Plate Loaded)";"8";"32.5";"9";"";"";"";"";""
"47";"2025-03-27 17:59:07";"Upper Body";"4200";"Shoulder Press (Plate Loaded)";"9";"37.5";"8";"";"";"";"";""
"47";"2025-03-27 17:59:07";"Upper Body";"4200";"Shoulder Press (Plate Loaded)";"10";"28.5";"8";"";"";"";"";""
"47";"2025-03-27 17:59:07";"Upper Body";"4200";"Lat Pulldown (Cable)";"11";"37.5";"8";"";"";"";"";""
"47";"2025-03-27 17:59:07";"Upper Body";"4200";"Lat Pulldown (Cable)";"12";"48.5";"10";"";"";"";"";""
"47";"2025-03-27 17:59:07";"Upper Body";"4200";"Lat Pulldown (Cable)";"13";"51.0";"11";"";"";"";"";""
"47";"2025-03-27 17:59:07";"Upper Body";"4200";"Lat Pulldown (Cable)";"14";"40.0";"8";"";"";"";"";""
"47";"2025-03-27 17:59:07";"Upper Body";"4200";"Bicep Curl (Cable)";"15";"19.0";"12";"";"";"";"";""
"47";"2025-03-27 17:59:07";"Upper Body";"4200";"Bicep Curl (Cable)";"16";"16.5";"11";"";"";"";"";""
"47";"2025-03-27 17:59:07";"Upper Body";"4200";"Bicep Curl (Cable)";"17";"15.0";"10";"";"";"";"";""
"47";"2025-03-27 17:59:07";"Upper Body";"4200";"Triceps Extension (Machine)";"18";"33.0";"12";"";"";"";"";""
"47";"2025-03-27 17:59:07";"Upper Body";"4200";"Triceps Extension (Machine)";"19";"42.0";"12";"";"";"";"";""
"47";"2025-03-27 17:59:07";"Upper Body";"4200";"Triceps Extension (Machine)";"20";"22.0";"12";"";"";"";"";""
"47";"2025-03-27 17:59:07";"Upper Body";"4200";"Triceps Extension (Machine)";"21";"38.5";"10";"";"";"";"";""
"47";"2025-03-27 17:59:07";"Upper Body";"4200";"Crunch (Machine)";"22";"52.0";"14";"";"";"";"";""
"47";"2025-03-27 17:59:07";"Upper Body";"4200";"Crunch (Machine)";"23";"30.0";"20";"";"";"";"";""
"47";"2025-03-27 17:59:07";"Upper Body";"4200";"Crunch (Machine)";"24";"29.0";"20";"";"";"";"";""
"48";"2025-03-28 09:28:42";"Full Body";"4920";"Squat (Barbell)";"1";"81.0";"8";"";"";"";"";""
"48";"2025-03-28 09:28:42";"Full Body";"4920";"Squat (Barbell)";"2";"72.5";"10";"";"";"";"";""
"48";"2025-03-28 09:28:42";"Full Body";"4920";"Squat (Barbell)";"3";"56.0";"10";"";"";"";"";""
"48";"2025-03-28 09:28:42";"Full Body";"4920";"Squat (Barbell)";"4";"48.5";"8";"";"";"";"";""
"48";"2025-03-28 09:28:42";"Full Body";"4920";"Bench Press (Barbell)";"5";"73.5";"9";"";"";"";"";""
"48";"2025-03-28 09:28:42";"Full Body";"4920";"Bench Press (Barbell)";"6";"72.0";"9";"";"";"";"";""
"48";"2025-03-28 09:28:42";"Full Body";"4920";"Bench Press (Barbell)";"7";"69.5";"8";"";"";"";"";""
"48";"2025-03-28 09:28:42";"Full Body";"4920";"Seated Row (Machine)";"8";"56.0";"11";"";"";"";"";""
"48";"2025-03-28 09:28:42";"Full Body";"4920";"Seated Row (Machine)";"9";"39.0";"11";"";"";"";"";""
"48";"2025-03-28 09:28:42";"Full Body";"4920";"Seated Row (Machine)";"10";"47.0";"10";"";"";"";"";""
"48";"2025-03-28 09:28:42";"Full Body";"4920";"Shoulder Press (Machine)";"11";"36.5";"12";"";"";"";"";""
"48";"2025-03-28 09:28:42";"Full Body";"4920";"Shoulder Press (Machine)";"12";"44.5";"10";"";"";"";"";""
"48";"2025-03-28 09:28:42";"Full Body";"4920";"Shoulder Press (Machine)";"13";"39.0";"11";"";"";"";"";""
"48";"2025-03-28 09:28:42";"Full Body";"4920";"Shoulder Press (Machine)";"14";"42.0";"9";"";"";"";"";""
"48";"2025-03-28 09:28:42";"Full Body";"4920";"Bicep Curl (Machine)";"15";"23.5";"11";"";"";"";"";""
"48";"2025-03-28 09:28:42";"Full Body";"4920";"Bicep Curl (Machine)";"16";"21.5";"12";"";"";"";"";""
"48";"2025-03-28 09:28:42";"Full Body";"4920";"Standing Calf Raise (Machine)";"17";"86.5";"18";"";"";"";"";""
"48";"2025-03-28 09:28:42";"Full Body";"4920";"Standing Calf Raise (Machine)";"18";"103.0";"12";"";"";"";"";""
"48";"2025-03-28 09:28:42";"Full Body";"4920";"Standing Calf Raise (Machine)";"19";"97.5";"20";"";"";"";"";""
"48";"2025-03-28 09:28:42";"Full Body";"4920";"Crunch (Machine)";"20";"45.5";"19";"";"";"";"";""
"48";"2025-03-28 09:28:42";"Full Body";"4920";"Crunch (Machine)";"21";"29.0";"19";"";"";"";"";""
"48";"2025-03-28 09:28:42";"Full Body";"4920";"Crunch (Machine)";"22";"46.5";"17";"";"";"";"";""
"49";"2025-03-31 19:00:50";"Push";"2820";"Bench Press (Barbell)";"1";"61.0";"11";"";"";"";"";""
"49";"2025-03-31 19:00:50";"Push";"2820";"Bench Press (Barbell)";"2";"66.5";"7";"";"";"";"";""
"49";"2025-03-31 19:00:50";"Push";"2820";"Bench Press (Barbell)";"3";"74.5";"12";"";"";"";"";""
"49";"2025-03-31 19:00:50";"Push";"2820";"Bench Press (Barbell)";"4";"63.5";"10";"";"";"";"";""
"49";"2025-03-31 19:00:50";"Push";"2820";"Incline Chest Press (Machine)";"5";"60.5";"12";"";"";"";"";""
"49";"2025-03-31 19:00:50";"Push";"2820";"Incline Chest Press (Machine)";"6";"45.5";"11";"";"";"";"";""
"49";"2025-03-31 19:00:50";"Push";"2820";"Incline Chest Press (Machine)";"7";"45.0";"10";"";"";"";"";""
"49";"2025-03-31 19:00:50";"Push";"2820";"Chest Fly";"8";"15.0";"11";"";"";"";"";""
"49";"2025-03-31 19:00:50";"Push";"2820";"Chest Fly";"9";"14.0";"12";"";"";"";"";""
"49";"2025-03-31 19:00:50";"Push";"2820";"Chest Fly";"10";"20.0";"10";"";"";"";"";""
"49";"2025-03-31 19:00:50";"Push";"2820";"Shoulder Press (Machine)";"11";"52.5";"9";"";"";"";"";""
"49";"2025-03-31 19:00:50";"Push";"2820";"Shoulder Press (Machine)";"12";"41.0";"10";"";"";"";"";""
"49";"2025-03-31 19:00:50";"Push";"2820";"Shoulder Press (Machine)";"13";"37.5";"9";"";"";"";"";""
"49";"2025-03-31 19:00:50";"Push";"2820";"Front Raise (Cable)";"14";"12.0";"11";"";"";"";"";""
"49";"2025-03-31 19:00:50";"Push";"2820";"Front Raise (Cable)";"15";"10.0";"10";"";"";"";"";""
"49";"2025-03-31 19:00:50";"Push";"2820";"Front Raise (Cable)";"16";"7.0";"10";"";"";"";"";""
"49";"2025-03-31 19:00:50";"Push";"2820";"Triceps Pushdown (Cable - Straight Bar)";"17";"33.0";"10";"";"";"";"";""
"49";"2025-03-31 19:00:50";"Push";"2820";"Triceps Pushdown (Cable - Straight Bar)";"18";"40.0";"13";"";"";"";"";""
"49";"2025-03-31 19:00:50";"Push";"2820";"Triceps Pushdown (Cable - Straight Bar)";"19";"42.5";"10";"";"";"";"";""
"49";"2025-03-31 19:00:50";"Push";"2820";"Triceps Extension (Cable)";"20";"26.5";"14";"";"";"";"";""
"49";"2025-03-31 19:00:50";"Push";"2820";"Triceps Extension (Cable)";"21";"25.0";"12";"";"";"";"";""
"49";"2025-03-31 19:00:50";"Push";"2820";"Triceps Extension (Cable)";"22";"28.0";"10";"";"";"";"";""
"50";"2025-04-01 10:21:38";"Pull";"4980";"Pull Up";"1";"0.0";"12";"";"";"";"";""
"50";"2025-04-01 10:21:38";"Pull";"4980";"Pull Up";"2";"0.0";"5";"";"";"";"";""
"50";"2025-04-01 10:21:38";"Pull";"4980";"Pull Up";"3";"0.0";"12";"";"";"";"";""
"50";"2025-04-01 10:21:38";"Pull";"4980";"Lat Pulldown (Cable)";"4";"53.0";"8";"";"";"";"";""
"50";"2025-04-01 10:21:38";"Pull";"4980";"Lat Pulldown (Cable)";"5";"47.5";"12";"";"";"";"";""
"50";"2025-04-01 10:21:38";"Pull";"4980";"Lat Pulldown (Cable)";"6";"43.0";"12";"";"";"";"";""
"50";"2025-04-01 10:21:38";"Pull";"4980";"Reverse Fly (Machine)";"7";"11.0";"12";"";"";"";"";""
"50";"2025-04-01 10:21:38";"Pull";"4980";"Reverse Fly (Machine)";"8";"6.5";"15";"";"";"";"";""
"50";"2025-04-01 10:21:38";"Pull";"4980";"Reverse Fly (Machine)";"9";"13.5";"11";"";"";"";"";""
"50";"2025-04-01 10:21:38";"Pull";"4980";"Reverse Fly (Machine)";"10";"7.0";"15";"";"";"";"";""
"50";"2025-04-01 10:21:38";"Pull";"4980";"Bicep Curl (Barbell)";"11";"22.0";"10";"";"";"";"";""
"50";"2025-04-01 10:21:38";"Pull";"4980";"Bicep Curl (Barbell)";"12";"17.5";"10";"";"";"";"";""
"50";"2025-04-01 10:21:38";"Pull";"4980";"Bicep Curl (Barbell)";"13";"28.0";"9";"";"";"";"";""
"50";"2025-04-01 10:21:38";"Pull";"4980";"Bicep Curl (Dumbbell)";"14";"9.0";"11";"";"";"";"";""
"50";"2025-04-01 10:21:38";"Pull";"4980";"Bicep Curl (Dumbbell)";"15";"9.0";"12";"";"";"";"";""
"50";"2025-04-01 10:21:38";"Pull";"4980";"Bicep Curl (Dumbbell)";"16";"16.5";"11";"";"";"";"";""
"51";"2025-04-02 12:14:32";"Leg Day";"3120";"Squat (Barbell)";"1";"75.0";"12";"";"";"";"";""
"51";"2025-04-02 12:14:32";"Leg Day";"3120";"Squat (Barbell)";"2";"74.5";"8";"";"";"";"";""
"51";"2025-04-02 12:14:32";"Leg Day";"3120";"Squat (Barbell)";"3";"105.0";"7";"";"";"";"";""
"51";"2025-04-02 12:14:32";"Leg Day";"3120";"Squat (Barbell)";"4";"93.5";"9";"";"";"";"";""
"51";"2025-04-02 12:14:32";"Leg Day";"3120";"Seated Leg Press (Machine)";"5";"111.5";"10";"";"";"";"";""
"51";"2025-04-02 12:14:32";"Leg Day";"3120";"Seated Leg Press (Machine)";"6";"123.5";"11";"";"";"";"";""
"51";"2025-04-02 12:14:32";"Leg Day";"3120";"Seated Leg Press (Machine)";"7";"121.5";"12";"";"";"";"";""
"51";"2025-04-02 12:14:32";"Leg Day";"3120";"Leg Extension (Machine)";"8";"52.5";"14";"";"";"";"";""
"51";"2025-04-02 12:14:32";"Leg Day";"3120";"Leg Extension (Machine)";"9";"45.0";"15";"";"";"";"";""
"51";"2025-04-02 12:14:32";"Leg Day";"3120";"Leg Extension (Machine)";"10";"57.5";"10";"";"";"";"";""
"51";"2025-04-02 12:14:32";"Leg Day";"3120";"Seated Leg Curl (Machine)";"11";"43.0";"14";"";"";"";"";""
"51";"2025-04-02 12:14:32";"Leg Day";"3120";"Seated Leg Curl (Machine)";"12";"49.5";"10";"";"";"";"";""
"51";"2025-04-02 12:14:32";"Leg Day";"3120";"Seated Leg Curl (Machine)";"13";"45.5";"13";"";"";"";"";""
"51";"2025-04-02 12:14:32";"Leg Day";"3120";"Seated Leg Curl (Machine)";"14";"44.5";"11";"";"";"";"";""
"51";"2025-04-02 12:14:32";"Leg Day";"3120";"Hip Abductor (Machine)";"15";"51.0";"11";"";"";"";"";""
"51";"2025-04-02 12:14:32";"Leg Day";"3120";"Hip Abductor (Machine)";"16";"71.0";"12";"";"";"";"";""
"51";"2025-04-02 12:14:32";"Leg Day";"3120";"Hip Abductor (Machine)";"17";"43.5";"10";"";"";"";"";""
"51";"2025-04-02 12:14:32";"Leg Day";"3120";"Hip Adductor (Machine)";"18";"62.5";"11";"";"";"";"";""
"51";"2025-04-02 12:14:32";"Leg Day";"3120";"Hip Adductor (Machine)";"19";"60.0";"15";"";"";"";"";""
"51";"2025-04-02 12:14:32";"Leg Day";"3120";"Hip Adductor (Machine)";"20";"73.5";"11";"";"";"";"";""
"51";"2025-04-02 12:14:32";"Leg Day";"3120";"Hip Adductor (Machine)";"21";"48.5";"13";"";"";"";"";""
"51";"2025-04-02 12:14:32";"Leg Day";"3120";"Standing Calf Raise (Machine)";"22";"111.5";"20";"";"";"";"";""
"51";"2025-04-02 12:14:32";"Leg Day";"3120";"Standing Calf Raise (Machine)";"23";"112.0";"18";"";"";"";"";""
"51";"2025-04-02 12:14:32";"Leg Day";"3120";"Standing Calf Raise (Machine)";"24";"111.0";"15";"";"";"";"";""
"52";"2025-04-03 16:47:58";"Push";"5160";"Bench Press (Barbell)";"1";"86.0";"9";"";"";"";"";""
"52";"2025-04-03 16:47:58";"Push";"5160";"Bench Press (Barbell)";"2";"84.5";"12";"";"";"";"";""
"52";"2025-04-03 16:47:58";"Push";"5160";"Bench Press (Barbell)";"3";"67.5";"9";"";"";"";"";""
"52";"2025-04-03 16:47:58";"Push";"5160";"Bench Press (Barbell)";"4";"64.0";"6";"";"";"";"";""
"52";"2025-04-03 16:47:58";"Push";"5160";"Incline Chest Press (Machine)";"5";"52.5";"11";"";"";"";"";""
"52";"2025-04-03 16:47:58";"Push";"5160";"Incline Chest Press (Machine)";"6";"48.0";"9";"";"";"";"";""
"52";"2025-04-03 16:47:58";"Push";"5160";"Incline Chest Press (Machine)";"7";"48.5";"11";"";"";"";"";""
"52";"2025-04-03 16:47:58";"Push";"5160";"Chest Fly";"8";"16.5";"13";"";"";"";"";""
"52";"2025-04-03 16:47:58";"Push";"5160";"Chest Fly";"9";"10.5";"13";"";"";"";"";""
"52";"2025-04-03 16:47:58";"Push";"5160";"Chest Fly";"10";"21.5";"10";"";"";"";"";""
"52";"2025-04-03 16:47:58";"Push";"5160";"Shoulder Press (Machine)";"11";"38.5";"9";"";"";"";"";""
"52";"2025-04-03 16:47:58";"Push";"5160";"Shoulder Press (Machine)";"12";"32.0";"12";"";"";"";"";""
"52";"2025-04-03 16:47:58";"Push";"5160";"Shoulder Press (Machine)";"13";"38.5";"8";"";"";"";"";""
"52";"2025-04-03 16:47:58";"Push";"5160";"Triceps Pushdown (Cable - Straight Bar)";"14";"33.0";"10";"";"";"";"";""
"52";"2025-04-03 16:47:58";"Push";"5160";"Triceps Pushdown (Cable - Straight Bar)";"15";"30.5";"10";"";"";"";"";""
"52";"2025-04-03 16:47:58";"Push";"5160";"Triceps Pushdown (Cable - Straight Bar)";"16";"31.5";"11";"";"";"";"";""
"52";"2025-04-03 16:47:58";"Push";"5160";"Triceps Extension (Cable)";"17";"17.5";"15";"";"";"";"";""
"52";"2025-04-03 16:47:58";"Push";"5160";"Triceps Extension (Cable)";"18";"17.0";"10";"";"";"";"";""
"52";"2025-04-03 16:47:58";"Push";"5160";"Triceps Extension (Cable)";"19";"24.5";"11";"";"";"";"";""
"53";"2025-04-04 19:36:24";"Pull";"2760";"Lat Pulldown (Cable)";"1";"41.5";"8";"";"";"";"";""
"53";"2025-04-04 19:36:24";"Pull";"2760";"Lat Pulldown (Cable)";"2";"57.5";"8";"";"";"";"";""
"53";"2025-04-04 19:36:24";"Pull";"2760";"Lat Pulldown (Cable)";"3";"59.5";"11";"";"";"";"";""
"53";"2025-04-04 19:36:24";"Pull";"2760";"Reverse Fly (Machine)";"4";"8.5";"11";"";"";"";"";""
"53";"2025-04-04 19:36:24";"Pull";"2760";"Reverse Fly (Machine)";"5";"7.0";"15";"";"";"";"";""
"53";"2025-04-04 19:36:24";"Pull";"2760";"Reverse Fly (Machine)";"6";"11.0";"11";"";"";"";"";""
"53";"2025-04-04 19:36:24";"Pull";"2760";"Bicep Curl (Barbell)";"7";"23.0";"11";"";"";"";"";""
"53";"2025-04-04 19:36:24";"Pull";"2760";"Bicep Curl (Barbell)";"8";"31.5";"8";"";"";"";"";""
"53";"2025-04-04 19:36:24";"Pull";"2760";"Bicep Curl (Barbell)";"9";"28.0";"11";"";"";"";"";""
"53";"2025-04-04 19:36:24";"Pull";"2760";"Bicep Curl (Dumbbell)";"10";"10.0";"10";"";"";"";"";""
"53";"2025-04-04 19:36:24";"Pull";"2760";"Bicep Curl (Dumbbell)";"11";"9.0";"11";"";"";"";"";""
"53";"2025-04-04 19:36:24";"Pull";"2760";"Bicep Curl (Dumbbell)";"12";"14.5";"12";"";"";"";"";""
"53";"2025-04-04 19:36:24";"Pull";"2760";"Bicep Curl (Dumbbell)";"13";"11.0";"10";"";"";"";"";""
"54";"2025-04-07 16:52:14";"Leg Day";"3900";"Squat (Barbell)";"1";"90.5";"11";"";"";"";"";""
"54";"2025-04-07 16:52:14";"Leg Day";"3900";"Squat (Barbell)";"2";"101.0";"9";"";"";"";"";""
"54";"2025-04-07 16:52:14";"Leg Day";"3900";"Squat (Barbell)";"3";"45.0";"7";"";"";"";"";""
"54";"2025-04-07 16:52:14";"Leg Day";"3900";"Squat (Barbell)";"4";"75.5";"10";"";"";"";"";""
